,5/5/2021,3.45%,4.71%,2.03%,5.20%,0.02%,0.00%,0.09%,11.62%,10.08%,-0.53%,-0.02%,3.33%
,5/12/2021,-2.23%,-6.70%,-0.57%,-3.59%,-1.34%,-0.62%,-1.07%,-5.26%,-6.80%,2.09%,-1.77%,-2.53%
,5/19/2021,6.64%,-7.22%,-7.44%,-12.03%,-1.48%,-4.60%,-6.59%,-10.72%,0.69%,-4.69%,-4.10%,-4.69%
,5/26/2021,0.21%,11.20%,3.43%,11.94%,9.51%,2.64%,7.14%,2.35%,-3.28%,6.16%,3.61%,4.99%
,6/2/2021,-2.45%,2.44%,-0.03%,3.53%,0.21%,0.00%,-1.78%,-1.41%,1.79%,-0.06%,3.61%,0.53%
,6/9/2021,1.36%,-1.98%,-1.57%,6.83%,4.18%,-2.04%,-0.28%,-2.73%,6.62%,-1.18%,4.01%,1.20%
,6/16/2021,-1.70%,-0.37%,-1.07%,0.32%,20.53%,3.81%,-1.80%,1.12%,-4.48%,4.90%,3.03%,2.21%
,6/23/2021,2.81%,-8.25%,-1.63%,2.15%,-4.67%,-0.28%,2.16%,-3.16%,-5.20%,-3.14%,0.81%,-1.67%
,6/30/2021,2.17%,0.79%,2.10%,5.58%,-5.36%,4.14%,0.49%,1.96%,4.51%,1.90%,4.30%,2.05%
,7/7/2021,2.48%,-0.08%,4.00%,4.46%,-0.28%,2.62%,-0.42%,-1.86%,-1.97%,2.21%,1.41%,1.14%
,7/14/2021,-3.38%,-0.01%,-3.86%,-1.03%,1.04%,-2.75%,-1.05%,-0.18%,-5.42%,-2.52%,0.14%,-1.73%
,7/21/2021,-4.24%,-5.84%,-2.89%,-2.41%,1.41%,-0.24%,0.34%,-2.55%,5.01%,-1.09%,-1.57%,-1.28%
,7/28/2021,3.14%,3.08%,0.81%,3.80%,-0.18%,0.65%,-0.25%,1.30%,6.75%,1.87%,2.32%,2.12%
,8/4/2021,1.78%,-0.14%,-0.28%,2.18%,2.85%,0.66%,0.03%,-4.34%,-2.23%,3.19%,-1.98%,0.15%
,8/11/2021,-0.63%,-1.82%,-1.60%,3.63%,32.06%,-1.99%,0.64%,3.15%,1.30%,0.22%,1.45%,3.31%
,8/18/2021,-0.56%,7.72%,-1.31%,1.01%,16.69%,-1.53%,-1.11%,6.73%,1.21%,2.13%,1.62%,2.96%
,8/25/2021,4.54%,2.86%,-0.65%,8.66%,11.68%,-3.43%,-0.27%,1.78%,-4.10%,-4.55%,-1.17%,1.40%
,9/1/2021,-0.46%,-0.20%,-0.65%,2.32%,8.76%,-1.32%,-0.08%,-1.84%,-1.74%,0.94%,-1.36%,0.40%
,9/8/2021,3.15%,-9.68%,-5.23%,19.06%,11.98%,-2.12%,-1.89%,-4.89%,-3.99%,3.59%,-4.10%,0.53%
,9/15/2021,-1.07%,0.41%,-0.18%,-3.76%,-1.74%,1.79%,4.06%,12.59%,3.25%,-1.32%,-1.95%,1.10%
,9/22/2021,2.55%,-0.76%,4.68%,1.99%,0.64%,2.48%,3.33%,-1.77%,3.65%,10.01%,-2.56%,2.20%
,9/29/2021,-0.25%,2.44%,-0.34%,12.79%,-0.27%,1.20%,14.77%,3.79%,3.54%,0.51%,-3.14%,3.19%
,10/6/2021,-1.04%,-1.50%,-1.77%,-5.15%,10.77%,-5.43%,-3.10%,-4.67%,-8.81%,0.17%,-0.66%,-1.93%
,10/13/2021,0.77%,7.10%,0.91%,-4.58%,26.49%,0.67%,-3.42%,2.04%,4.72%,1.42%,0.90%,3.37%
,10/20/2021,2.58%,-1.94%,1.99%,-1.57%,23.69%,3.76%,-1.86%,0.66%,9.46%,-3.31%,-3.57%,2.72%
,10/27/2021,-2.46%,6.67%,5.87%,-3.69%,11.15%,-1.46%,-1.70%,-1.75%,9.07%,1.26%,1.45%,2.22%
,11/3/2021,2.57%,-2.29%,-1.21%,1.23%,-5.75%,2.68%,-1.85%,-0.13%,-4.96%,-0.01%,-1.80%,-1.05%
,11/10/2021,-0.28%,-3.29%,-0.34%,-2.85%,-2.45%,-2.27%,0.87%,0.06%,-1.12%,-2.23%,5.78%,-0.74%
,11/17/2021,-1.78%,4.28%,-1.89%,5.12%,-1.12%,-3.20%,1.33%,-2.65%,6.71%,4.45%,-0.44%,0.98%
,11/24/2021,-1.69%,-0.93%,3.45%,-0.47%,0.23%,3.78%,7.34%,2.36%,10.24%,-1.61%,-0.86%,1.99%
,12/1/2021,0.59%,-0.16%,-1.97%,1.34%,15.55%,-3.90%,-0.48%,-1.76%,-6.09%,-0.15%,3.10%,0.55%
,12/8/2021,-0.49%,-3.48%,-1.71%,3.95%,3.88%,-3.68%,1.38%,0.30%,-1.40%,2.45%,0.59%,0.16%
,12/15/2021,0.32%,-1.63%,-1.46%,3.59%,4.39%,1.79%,-0.27%,4.79%,0.67%,-2.99%,-0.72%,0.77%
,12/22/2021,2.91%,0.52%,1.27%,5.02%,-0.48%,0.86%,3.01%,3.90%,3.11%,2.75%,7.13%,2.73%
,12/29/2021,-0.87%,2.71%,1.70%,-2.86%,-4.41%,0.05%,-2.69%,0.12%,-2.64%,-0.01%,3.33%,-0.51%
,1/5/2022,6.77%,-2.22%,-2.12%,6.15%,4.80%,0.19%,0.17%,3.85%,4.53%,4.09%,-0.52%,2.33%
,1/12/2022,0.74%,-2.69%,-1.03%,6.56%,-1.55%,-1.76%,-0.95%,3.21%,-1.75%,-1.49%,-0.78%,-0.14%
,1/19/2022,10.28%,-3.42%,-0.96%,-0.85%,-4.14%,-0.05%,-0.34%,24.02%,0.41%,-0.23%,0.65%,2.31%
,1/26/2022,-2.55%,4.59%,5.73%,3.07%,-0.95%,6.69%,2.80%,11.14%,3.69%,-0.47%,4.51%,3.48%
,2/2/2022,-1.52%,5.85%,2.26%,-4.61%,-1.58%,7.57%,0.11%,1.23%,-0.72%,0.67%,7.65%,1.54%
,2/9/2022,2.00%,-0.32%,2.17%,1.41%,-3.01%,-3.91%,2.09%,-5.52%,4.78%,2.15%,16.73%,1.69%
,2/16/2022,0.85%,-1.46%,-1.72%,7.80%,4.28%,-4.57%,-0.52%,-1.30%,-0.03%,-2.09%,1.40%,0.24%
,2/23/2022,-0.27%,-0.81%,-0.39%,7.31%,-0.91%,4.82%,-0.39%,-1.14%,1.11%,-0.92%,5.53%,1.27%
,3/2/2022,-0.18%,3.90%,0.11%,15.71%,6.75%,0.66%,1.69%,1.34%,-1.88%,-0.85%,8.02%,3.21%
,3/9/2022,0.44%,2.61%,1.84%,13.46%,-1.43%,0.55%,0.31%,-2.26%,1.22%,1.75%,1.99%,1.86%
,3/16/2022,1.20%,-1.35%,-1.15%,-2.59%,-4.01%,-2.22%,0.01%,-2.16%,-6.24%,1.90%,-8.86%,-2.32%
,3/23/2022,1.86%,-1.74%,-1.67%,4.37%,-4.16%,-2.13%,1.69%,-0.86%,7.95%,2.97%,-4.01%,0.39%
,3/30/2022,1.09%,0.52%,1.26%,2.14%,3.10%,1.64%,0.41%,11.12%,13.10%,-2.42%,5.51%,3.41%
,4/6/2022,0.51%,0.24%,-0.22%,9.18%,-1.83%,-2.54%,0.09%,-3.63%,2.64%,-1.39%,4.72%,0.71%
,4/13/2022,-2.00%,0.26%,-0.81%,-3.66%,-1.25%,-0.35%,0.09%,2.01%,4.87%,-2.57%,-3.01%,-0.58%
,4/20/2022,0.70%,0.69%,0.23%,-1.32%,-1.11%,-0.39%,-1.29%,1.85%,3.86%,2.55%,2.98%,0.80%
,4/27/2022,3.56%,-1.48%,1.53%,-1.26%,1.28%,2.30%,0.10%,0.20%,-7.25%,-1.78%,2.02%,-0.07%
,5/4/2022,0.80%,-1.18%,-1.25%,-3.06%,-5.07%,-0.80%,1.81%,15.71%,1.62%,-0.42%,-1.38%,0.62%
,5/11/2022,4.66%,4.94%,1.17%,1.24%,4.11%,-0.78%,-2.27%,7.03%,6.60%,1.38%,2.21%,2.75%
,5/18/2022,0.22%,-0.48%,1.57%,11.43%,-2.57%,2.97%,0.23%,5.05%,-0.25%,-1.05%,-3.66%,1.22%
,5/25/2022,1.53%,3.26%,1.13%,4.01%,1.33%,-0.96%,-0.71%,2.16%,8.16%,-1.74%,2.94%,1.92%
,6/1/2022,-2.42%,3.68%,3.29%,1.79%,-1.40%,-1.12%,1.07%,-0.09%,-0.48%,-0.29%,-2.25%,0.16%
,6/8/2022,0.38%,5.51%,0.17%,-0.15%,-0.65%,-0.67%,4.04%,-1.28%,8.35%,-0.31%,2.85%,1.66%
,6/15/2022,-0.71%,1.55%,-0.63%,-5.44%,-3.72%,-2.43%,-1.01%,-1.90%,-2.52%,-0.94%,14.31%,-0.31%
,6/22/2022,-0.58%,3.50%,0.20%,-2.40%,3.53%,-3.40%,0.08%,6.74%,-0.01%,-1.10%,-2.34%,0.38%
,6/29/2022,2.42%,0.59%,-1.89%,3.79%,-4.10%,2.33%,2.72%,-6.45%,3.09%,1.52%,-0.08%,0.36%
,7/6/2022,-2.84%,3.84%,1.77%,-1.76%,2.30%,3.72%,-0.03%,0.03%,2.68%,-2.15%,0.85%,0.76%
,7/13/2022,-0.64%,6.69%,0.54%,1.25%,1.15%,-0.06%,2.43%,9.10%,0.20%,0.32%,1.20%,2.02%
,7/20/2022,0.25%,-0.36%,1.11%,1.15%,2.23%,4.86%,4.86%,-0.88%,-2.61%,-1.17%,-0.72%,0.79%
,7/27/2022,3.86%,11.73%,-0.47%,-2.79%,3.03%,2.45%,3.41%,8.82%,0.46%,2.39%,0.03%,2.99%
,8/3/2022,2.88%,-1.64%,-1.33%,3.22%,-2.47%,-3.30%,2.85%,0.61%,1.31%,0.48%,-0.75%,0.17%
,8/10/2022,0.19%,-2.29%,2.85%,0.31%,-0.39%,0.60%,-1.13%,-4.17%,-4.22%,9.06%,-1.08%,-0.02%
,8/17/2022,0.09%,-1.87%,1.87%,1.71%,-3.39%,5.02%,2.36%,1.89%,3.49%,-1.28%,10.08%,1.82%
,8/24/2022,-1.62%,-8.00%,-5.54%,2.73%,-11.22%,4.92%,1.17%,-1.66%,-1.35%,-6.82%,-1.49%,-2.62%
,8/31/2022,0.71%,5.68%,1.50%,1.52%,6.06%,3.61%,4.18%,3.67%,-2.55%,-4.84%,0.32%,1.81%
,9/7/2022,0.45%,2.53%,1.83%,15.54%,-2.40%,-0.88%,0.80%,1.52%,5.49%,-0.73%,3.15%,2.48%
,9/14/2022,-1.19%,-0.04%,0.44%,7.48%,1.24%,2.51%,3.91%,2.23%,1.74%,2.94%,1.87%,2.10%
,9/21/2022,-1.68%,-4.95%,-1.86%,-9.47%,-0.45%,-1.45%,3.32%,3.65%,-1.03%,-0.62%,-2.48%,-1.55%
,9/28/2022,-0.69%,-2.42%,-0.50%,-3.39%,-2.08%,0.12%,-5.60%,-0.70%,-0.10%,-0.85%,-2.38%,-1.69%
,10/5/2022,0.84%,-1.58%,-0.05%,-3.40%,0.47%,6.92%,-0.61%,-0.23%,1.93%,3.93%,1.42%,0.88%
,10/12/2022,1.66%,-9.39%,-3.60%,-4.86%,-3.69%,-1.33%,-3.79%,-1.28%,0.31%,-0.19%,-1.32%,-2.50%
,10/19/2022,-1.02%,0.28%,-1.02%,0.65%,-3.24%,-0.87%,-0.68%,-0.26%,-1.81%,0.82%,8.16%,0.09%
,10/26/2022,-1.51%,-2.84%,2.50%,1.66%,-1.81%,-0.73%,2.26%,-1.95%,2.34%,-0.44%,1.41%,0.08%
,11/2/2022,-1.18%,11.55%,6.73%,2.75%,5.79%,2.42%,2.60%,6.84%,5.39%,3.42%,5.95%,4.75%
,11/9/2022,-2.69%,1.77%,0.83%,-3.64%,-1.42%,-6.01%,5.39%,8.51%,1.11%,-0.02%,0.13%,0.36%
,11/16/2022,-2.61%,2.06%,1.48%,10.77%,3.62%,1.36%,0.03%,-3.55%,2.49%,6.97%,-0.24%,2.03%
,11/23/2022,0.70%,5.66%,-0.01%,2.81%,-0.59%,-0.95%,2.77%,8.52%,-0.06%,0.50%,7.06%,2.40%
